Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:City of London,E09000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ladu:Hackney,E09000012,28847,12,30016,6.5,29351,7.7,28790,6.4,31045,7.4,29775,7.1,-,-
ladu:Hammersmith and Fulham,E09000013,34685,6.3,35995,7.1,35983,6.3,38799,7.5,37296,7.3,37618,7.4,37884,13
ladu:Haringey,E09000014,26477,11,28698,7.6,28294,8.6,29165,5.9,30377,6.8,28742,8.4,-,-
ladu:Islington,E09000019,31680,13,33219,7.8,37502,8.9,37634,14,38303,9.7,34832,9.7,38434,7.6
ladu:Kensington and Chelsea,E09000020,-,-,-,-,37191,14,36277,15,-,-,39011,14,37578,15
ladu:Lambeth,E09000022,29317,6.5,31186,6.2,33307,11,33084,6.3,36629,7.4,35484,6.4,37566,6.1
ladu:Lewisham,E09000023,29202,11,28092,7.2,29997,4.5,28994,5.5,31595,8.1,29940,7.2,32579,11
ladu:Newham,E09000025,22501,13,23429,10,24805,12,26107,5.4,28600,17,30473,6,29131,16
ladu:Southwark,E09000028,30000,9,30483,5,32290,7.1,35056,5.7,34278,5.9,34193,5.6,34583,5.5
ladu:Tower Hamlets,E09000030,30824,12,32554,6.1,32389,9.9,38000,7.4,35788,11,35949,6,36162,6.2
ladu:Wandsworth,E09000032,36538,6.6,36590,8.6,38216,6.9,39086,8.1,41895,9.6,37929,5.5,42665,13
ladu:Westminster,E09000033,35534,13,38089,20,41606,10,37450,19,40637,8.8,39635,8.2,39562,11
ladu:Barking and Dagenham,E09000002,23601,7.6,24640,11,25470,14,25412,6.8,26394,12,26674,8.1,27963,7.6
ladu:Barnet,E09000003,26000,11,28040,12,28740,6.6,29512,9.5,29239,6.3,30000,9.1,32507,11
ladu:Bexley,E09000004,26754,9.7,27323,6,27561,13,30708,6.8,32767,13,29274,6.7,33829,8.8
ladu:Brent,E09000005,24604,8.8,24645,8.3,25017,7.5,26325,10,28196,7.5,28367,7.1,30855,9.7
ladu:Bromley,E09000006,31513,6.5,32827,6.3,33794,7.3,33546,15,35654,8.5,34020,9.3,37749,5.9
